#time	operator	index_1	index_2	value
2.4	ZZ	3	1	-0.205661319129326
2.4	ZZ	3	2	0.257338916519303

2.5	ZZ	1	2	-0.209528076344299
2.5	ZZ	1	3	-0.0773412292436429
2.5	ZZ	2	1	-0.209528076344299
2.5	ZZ	2	3	0.17166617330077
2.5	ZZ	3	1	-0.0773412292436429
2.5	ZZ	3	2	0.17166617330077

2.6	ZZ	1	2	-0.206712612749269
2.6	ZZ	1	3	0.0336648540793684
2.6	ZZ	2	1	-0.206712612749269
2.6	ZZ	2	3	0.0888414154540417
2.6	ZZ	3	1	0.0336648540793684
2.6	ZZ	3	2	0.0888414154540417

2.7	ZZ	1	2	-0.180065054814199
2.7	ZZ	1	3	0.0980846775366613
2.7	ZZ	2	1	-0.180065054814199
2.7	ZZ	2	3	0.0284623999284925
2.7	ZZ	3	1	0.0980846775366613
2.7	ZZ	3	2	0.0284623999284925

2.8	ZZ	1	2	-0.127136148161228
2.8	ZZ	1	3	0.103054214996582
2.8	ZZ	2	1	-0.127136148161228
2.8	ZZ	2	3	0.0009469673400746
2.8	ZZ	3	1	0.103054214996582
2.8	ZZ	3	2	0.0009469673400746

2.9	ZZ	1	2	-0.0538791076831998
2.9	ZZ	1	3	0.0549911484677057
2.9	ZZ	2	1	-0.0538791076831998
2.9	ZZ	2	3	0.00583368889952698
2.9	ZZ	3	1	0.0549911484677057
2.9	ZZ	3	2	0.00583368889952698

3	ZZ	1	2	0.0270884138988993
3	ZZ	1	3	-0.023716468246493
3	ZZ	2	1	0.0270884138988993
3	ZZ	2	3	0.03335517161898
3	ZZ	3	1	-0.023716468246493
3	ZZ	3	2	0.03335517161898

3.1	ZZ	1	2	0.10042247444666
3.1	ZZ	1	3	-0.102754680350429
3.1	ZZ	2	1	0.10042247444666
3.1	ZZ	2	3	0.0685443810048346
3.1	ZZ	3	1	-0.102754680350429
3.1	ZZ	3	2	0.0685443810048346

3.2	ZZ	1	2	0.152811087797262
3.2	ZZ	1	3	-0.153838997838363
3.2	ZZ	2	1	0.152811087797262
3.2	ZZ	2	3	0.0964317617445278
3.2	ZZ	3	1	-0.153838997838363
3.2	ZZ	3	2	0.0964317617445278

3.3	ZZ	1	2	0.176984436234616
3.3	ZZ	1	3	-0.159358143391308
3.3	ZZ	2	1	0.176984436234616
3.3	ZZ	2	3	0.106678773427145
3.3	ZZ	3	1	-0.159358143391308
3.3	ZZ	3	2	0.106678773427145

3.4	ZZ	1	2	0.173728784122876
3.4	ZZ	1	3	-0.117111567043502
3.4	ZZ	2	1	0.173728784122876
3.4	ZZ	2	3	0.0963014918683118
3.4	ZZ	3	1	-0.117111567043502
3.4	ZZ	3	2	0.0963014918683118

3.5	ZZ	1	2	0.151350899524391
