#time	operator	index	value
1.9	X	1	-1.19191798845872e-14
1.9	Y	1	3.63889444909129e-15
1.9	Z	1	0.272372097093155
1.9	X	2	-4.01794205585602e-15
1.9	Y	2	1.86943806949055e-17
1.9	Z	2	0.497696892533569
1.9	X	3	-1.65066557218064e-15
1.9	Y	3	-2.93608194744879e-16
1.9	Z	3	0.57601274248583

2	X	1	-1.17032954008738e-14
2	Y	1	5.02187646996229e-15
2	Z	1	0.149156172374935
2	X	2	-3.80945056110846e-15
2	Y	2	9.93754947188205e-16
2	Z	2	0.635175700996246
2	X	3	-7.55303304658286e-16
2	Y	3	-1.05876600896765e-15
2	Z	3	0.578206620472114

2.1	X	1	-1.02560384689534e-14
2.1	Y	1	5.97683604292265e-15
2.1	Z	1	0.0716214598459351
2.1	X	2	-4.30517875593425e-15
2.1	Y	2	1.39296415853476e-15
2.1	Z	2	0.733172989532766
2.1	X	3	-8.85704900430589e-16
2.1	Y	3	-2.69521461287331e-15
2.1	Z	3	0.574037058680156

2.2	X	1	-8.26782946534717e-15
2.2	Y	1	6.15430856631027e-15
2.2	Z	1	0.0519797559301022
2.2	X	2	-4.55580508494844e-15
2.2	Y	2	2.14457163476415e-15
2.2	Z	2	0.764651178904721
2.2	X	3	-1.5947700833517e-15
2.2	Y	3	-3.35309361886319e-15
2.2	Z	3	0.578331469239431

2.3	X	1	-6.02903988814705e-15
2.3	Y	1	5.82289591620814e-15
2.3	Z	1	0.0891377839355375
2.3	X	2	-4.33932922515209e-15
2.3	Y	2	2.57985073845263e-15
2.3	Z	2	0.72510250380512
2.3	X	3	-3.40268856342906e-15
2.3	Y	3	-3.44563648494167e-15
2.3	Z	3	0.596692507251861

2.4	X	1	-3.90689132776451e-15
2.4	Y	1	5.15254094353473e-15
2.4	Z	1	0.169405361346808
2.4	X	2	-3.75089383526661e-15
2.4	Y	2	2.40340401872135e-15
2.4	Z	2	0.632405596995435
2.4	X	3	-5.21286755734897e-15
2.4	Y	3	-2.74580475501467e-15
2.4	Z	3	0.624933319523815

2.5	X	1	-1.78887917113448e-15
2.5	Y	1	4.74326921195098e-15
2.5	Z	1	0.270732260555618
2.5	X	2	-3.91038304043331e-15
2.5	Y	2	1.37055194355183e-15
2.5	Z	2	0.51973966310003
2.5	X	3	-5.96362431874093e-15
2.5	Y	3	-4.87187243169962e-16
2.5	Z	3	0.651926510200687

2.6	X	1	1.44390300833284e-16
2.6	Y	1	4.27580322705546e-15
2.6	Z	1	0.369055412938004
2.6	X	2	-3.30755610069444e-15
2.6	Y	2	-1.03249064305249e-16
2.6	Z	2	0.424231974312677
2.6	X	3	-6.6006413847365e-15
2.6	Y	3	1.99660860859009e-15
2.6	Z	3	0.664609441141316

2.7	X	1	1.85566554325977e-15
2.7	Y	1	3.46807810114057e-15
2.7	Z	1	0.44477861139696
2.7	X	2	-3.10134500417732e-15
2.7	Y	2	-1.38129809672231e-15
2.7	Z	2	0.375156333788791
2.7	X	3	-6.28943264181873e-15
2.7	Y	3	4.31170977177892e-15
2.7	Z	3	0.653306066139652

2.8	X	1	3.44770038326323e-15
2.8	Y	1	2.41798765514338e-15
2.8	Z	1	0.487485549747615
2.8	X	2	-2.92624785512295e-15
2.8	Y	2	-1.90265119163541e-15
2.8	Z	2	0.385378302091107
2.8	X	3	-5.5487156491674e-15
2.8	Y	3	6.33446664298578e-15
2.8	Z	3	0.615568665248919

2.9	X	1	4.76825717516203e-15
2.9	Y	1	9.33906807408085e-16
2.9	Z	1	0.497639175942466
2.9	X	2	-3.03395735037458e-15
2.9	Y	2	-1.74085971856434e-15
2.9	Z	2	0.448481716374287
2.9	X	3	-4.47807336976234e-15
2.9	Y	3	7.3088142207141e-15
2.9	Z	3	0.557351972525194

3	X	1	5.56274675792673e-15
3	Y	1	-8.91166220289358e-16
3	Z	1	0.485008387016689
3	X	2	-3.27952687922151e-15
3	Y	2	-1.10375156489882e-15
3	Z	2	0.542080026882161
3	X	3	-3.3315147499652e-15
3	Y	3	7.57806996226974e-15
3	Z	3	0.491275144736771

3.1	X	1	5.85350695906447e-15
3.1	Y	1	-2.72136203478553e-15
3.1	Z	1	0.464561706545674
3.1	X	2	-3.36220420869852e-15
3.1	Y	2	3.99318313877442e-16
3.1	Z	2	0.635860767900935
3.1	X	3	-2.62075794018115e-15
